RestaurantID,RestaurantName,City,Cuisines,Rating_text,Votes
18528478,La Gustosa,Pune,Italian,Excellent,1756
18552811,Punjab Canteen,Pune,North Indian,Very Good,876
12552,Chandra Cafe,Pune,"Chinese, North Indian, Rolls",Good,1148
11971,Aroma's Hyderabad House,Pune,"Biryani, North Indian, Mughlai",Very Good,692
18335308,Burger King,Pune,"Burger, Fast Food, Beverages",Good,645
6506345,P. K. Biryani House,Pune,"Biryani, Seafood, North Indian, Kebab",Good,927
18532162,Paddy's Cafe,Pune,Cafe,Very Good,1018
18397717,24foods.in,Pune,"Fast Food, Burger",Very Good,940
18465886,Adda,Pune,"Bar Food, Seafood, North Indian",Very Good,901
18516536,Indian N Spice,Pune,"Continental, North Indian, Chinese, Fast Food",Good,63
